player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
Nick Cuthbert,50985,S,KENT STATE,8,0,0,201,71.8,0,2,2,2.4,50.0,1,0,50.0,0,83,2,2,0,71.8,0,2,2,14.3,50.0,1,50.0,0,14,2,2
Treyvon Williams,50991,LB,FIU,12,0,1,166,51.5,1,6,42,21.6,4.8,2,2,8.3,0,213,46,7,0,51.1,0,2,11,17.3,9.1,1,9.1,0,75,13,2
Rae Juan Marbley,50998,LB,TULANE,3,0,0,319,57.7,0,0,2,22.2,0.0,0,1,0.0,0,9,2,0,0,59.4,0,0,1,20.0,0.0,0,0.0,0,5,1,0
Al-Rasheed Benton,51009,LB,W VIRGINIA,4,0,0,343,62.4,0,1,5,29.4,0.0,0,1,10.0,0,17,5,1,0,59.5,0,0,1,50.0,0.0,0,0.0,0,2,1,0
Kane Seeley,51012,LB,IOWA STATE,6,0,0,193,49.8,0,1,39,16.9,0.0,0,0,3.8,1,237,40,2,0,50.8,0,1,10,17.7,0.0,0,5.0,0,62,11,1
Sean Folliard,51013,LB,N ILLINOIS,14,0,0,254,69.2,4,2,44,15.6,6.8,3,1,18.2,5,307,48,11,0,81.3,1,0,21,19.7,9.5,2,16.7,3,117,23,4
Anthony Wint,51015,LB,FIU,9,0,0,166,60.0,0,3,16,8.8,0.0,0,0,9.4,0,194,17,3,0,58.0,0,0,2,3.8,0.0,0,0.0,0,52,2,0
Airius Moore,51019,LB,NC STATE,10,0,0,248,74.0,3,6,52,33.9,19.2,10,0,10.6,1,165,56,10,0,69.7,2,4,23,35.2,26.1,6,13.0,0,71,25,6
TJ Ricks,51020,LB,DOMINION,12,0,0,263,69.0,4,7,37,14.2,2.7,1,2,20.3,2,274,39,13,0,61.1,1,3,13,14.3,7.7,1,23.1,1,98,14,5
Josh Banderas,51022,LB,NEBRASKA,10,0,0,238,48.3,0,3,20,9.5,0.0,0,1,7.5,0,220,21,3,0,50.5,0,2,11,12.2,0.0,0,9.1,0,90,11,2
Jamaal Payton,51023,LB,N ILLINOIS,14,0,0,254,52.5,3,5,24,17.6,12.5,3,0,16.7,0,136,24,8,0,56.1,0,2,13,27.1,7.7,1,7.7,0,48,13,2
Alvin Jones Jr.,51026,LB,UTEP,13,3,1,330,66.1,4,6,115,46.8,7.0,8,2,6.1,2,263,123,12,1,62.3,4,5,67,66.0,10.4,7,9.7,2,106,70,11
Frankie Luvu,51028,ED,WASH STATE,5,0,0,341,55.4,0,0,9,75.0,0.0,0,0,0.0,0,12,9,0,0,56.8,0,0,3,100.0,0.0,0,0.0,0,3,3,0
Kenny Young,51029,LB,UCLA,12,0,0,324,54.0,0,1,22,11.6,0.0,0,0,2.3,0,189,22,1,0,53.1,0,0,7,13.2,0.0,0,0.0,0,53,7,0
John Rachal,51035,LB,AKRON,6,0,0,102,54.9,0,0,6,20.7,0.0,0,1,0.0,0,29,6,0,0,57.6,0,0,2,18.2,0.0,0,0.0,0,11,2,0
Fred Scott,51040,LB,N TEXAS,12,0,0,251,63.5,1,5,22,7.0,4.5,1,0,13.6,0,316,22,6,0,65.4,0,2,9,7.4,11.1,1,11.1,0,121,9,2
Will Davis,51049,LB,KANSAS ST,11,0,0,199,55.3,0,1,16,8.2,6.3,1,0,3.1,0,208,17,1,0,52.4,0,0,8,9.2,0.0,0,0.0,0,98,9,0
Jarred Alwan,51061,LB,TEMPLE,9,0,0,306,60.1,0,6,26,16.6,7.7,2,0,11.5,0,157,26,6,0,51.8,0,1,11,17.2,0.0,0,4.5,0,64,11,1
Zachery Harris,51067,LB,TULANE,3,0,0,319,58.5,0,0,2,16.7,0.0,0,0,0.0,0,12,2,0,0,59.1,0,0,1,25.0,0.0,0,0.0,0,4,1,0
Damani Alexcee,51072,S,TEXAS ST,11,0,1,314,54.3,0,0,3,1.9,0.0,0,2,0.0,0,158,3,0,0,60.0,0,0,1,2.4,0.0,0,0.0,0,41,1,0
Kendall Randolph,51074,CB,KENTUCKY,12,0,0,202,74.2,4,0,18,11.5,22.2,4,1,16.7,1,156,18,5,0,68.4,2,0,9,10.7,11.1,1,22.2,1,84,9,3
Will Likely,51082,CB,MARYLAND,13,0,1,215,76.5,0,2,9,1.8,22.2,2,6,22.2,1,542,10,3,0,77.9,0,1,3,2.0,33.3,1,50.0,1,204,4,2
Donnie Starks,51086,CB,KANSAS ST,3,0,1,199,58.7,0,0,1,3.4,0.0,0,1,0.0,0,29,1,0,0,58.7,0,0,1,9.1,0.0,0,0.0,0,11,1,0
RC Cox,51087,LB,SMU,2,0,0,287,59.7,0,1,2,40.0,0.0,0,0,25.0,0,5,2,1,0,,0,0,0,,,0,,0,0,0,0
Anthony Hamilton,51098,S,FAU,10,0,0,165,57.6,1,0,8,8.1,0.0,0,0,6.3,0,99,8,1,0,57.6,1,0,8,23.5,0.0,0,6.3,0,34,8,1
Jarrett Ross,51101,CB,MARYLAND,9,0,0,215,56.9,0,0,1,1.6,0.0,0,1,0.0,0,125,2,0,0,56.9,0,0,1,3.5,0.0,0,0.0,0,57,2,0
James Sanford,51105,S,BOWL GREEN,14,0,0,122,85.4,0,4,28,9.8,10.7,3,1,17.9,3,307,30,7,0,78.4,0,1,13,17.9,15.4,2,26.9,3,78,14,4
Josiah Powell,51114,LB,NAVY,2,0,0,237,67.8,1,0,4,35.7,25.0,1,0,12.5,0,14,5,1,0,,0,0,0,0.0,,0,,0,5,0,0
